[i] Train : 24379
[i] Valid : 2709
[i] pred_bboxes_op : Tensor("concat:0", shape=(8, 54560, 4), dtype=float32)
[i] pred_classes_op : Tensor("concat_1:0", shape=(8, 54560, 21), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(8, 54560, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(8, 54560, 21), dtype=float32)
[i] max_iteration : 304700
[i] decay_iteration : [152350 228525]
[i] iter : 8500, loss : 33.3192, focal_loss : 0.5893, giou_loss : 0.2465, l2_reg_loss : 32.4834, train_time : 38sec
[i] iter : 8550, loss : 33.3308, focal_loss : 0.6916, giou_loss : 0.2530, l2_reg_loss : 32.3862, train_time : 38sec
[i] iter : 8600, loss : 33.2264, focal_loss : 0.6717, giou_loss : 0.2610, l2_reg_loss : 32.2937, train_time : 38sec
[i] iter : 8650, loss : 33.1491, focal_loss : 0.7001, giou_loss : 0.2484, l2_reg_loss : 32.2006, train_time : 39sec
[i] iter : 8700, loss : 33.0295, focal_loss : 0.6739, giou_loss : 0.2486, l2_reg_loss : 32.1071, train_time : 38sec
[i] iter : 8750, loss : 32.9514, focal_loss : 0.6840, giou_loss : 0.2545, l2_reg_loss : 32.0129, train_time : 38sec
[i] iter : 8800, loss : 32.8077, focal_loss : 0.6340, giou_loss : 0.2549, l2_reg_loss : 31.9188, train_time : 38sec
[i] iter : 8850, loss : 32.6892, focal_loss : 0.6151, giou_loss : 0.2495, l2_reg_loss : 31.8245, train_time : 38sec
[i] iter : 8900, loss : 32.6067, focal_loss : 0.6285, giou_loss : 0.2450, l2_reg_loss : 31.7333, train_time : 38sec
[i] iter : 8950, loss : 32.4904, focal_loss : 0.6096, giou_loss : 0.2404, l2_reg_loss : 31.6405, train_time : 38sec
[i] iter : 9000, loss : 32.4170, focal_loss : 0.6226, giou_loss : 0.2474, l2_reg_loss : 31.5470, train_time : 38sec
[i] iter : 9050, loss : 32.3538, focal_loss : 0.6435, giou_loss : 0.2565, l2_reg_loss : 31.4538, train_time : 38sec
[i] iter : 9100, loss : 32.1820, focal_loss : 0.5820, giou_loss : 0.2386, l2_reg_loss : 31.3614, train_time : 38sec
[i] iter : 9150, loss : 32.1137, focal_loss : 0.5982, giou_loss : 0.2469, l2_reg_loss : 31.2686, train_time : 38sec
[i] iter : 9200, loss : 31.9951, focal_loss : 0.5775, giou_loss : 0.2414, l2_reg_loss : 31.1761, train_time : 38sec
[i] iter : 9250, loss : 31.8875, focal_loss : 0.5641, giou_loss : 0.2399, l2_reg_loss : 31.0835, train_time : 38sec
[i] iter : 9300, loss : 31.8460, focal_loss : 0.6105, giou_loss : 0.2443, l2_reg_loss : 30.9912, train_time : 38sec
[i] iter : 9350, loss : 31.7475, focal_loss : 0.5991, giou_loss : 0.2490, l2_reg_loss : 30.8993, train_time : 38sec
[i] iter : 9400, loss : 31.7100, focal_loss : 0.6631, giou_loss : 0.2382, l2_reg_loss : 30.8087, train_time : 38sec
[i] iter : 9450, loss : 31.5826, focal_loss : 0.6162, giou_loss : 0.2472, l2_reg_loss : 30.7192, train_time : 38sec
[i] iter : 9500, loss : 31.5630, focal_loss : 0.6813, giou_loss : 0.2515, l2_reg_loss : 30.6303, train_time : 39sec
